ssid,bssid,rssi,channel,time,band,observed_room,file_name,target_room,point_type,point_id
wi_dje_406,06:29:D5:47:E7:B0,-48,1,오후 5:17:56,2.4GHz,406,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_406,06:29:D5:47:E7:B0,-20,1,오후 5:17:59,2.4GHz,406,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_406,06:29:D5:47:E7:B0,-20,1,오후 5:18:02,2.4GHz,406,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_406,06:29:D5:47:E7:B0,-21,1,오후 5:18:04,2.4GHz,406,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_406,06:29:D5:47:E7:B0,-21,1,오후 5:18:07,2.4GHz,406,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_407,0A:29:D5:47:E8:00,-73,100,오후 5:17:56,5GHz,407,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_407,0A:29:D5:47:E8:00,-78,100,오후 5:17:59,5GHz,407,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_407,0A:29:D5:47:E8:00,-78,100,오후 5:18:02,5GHz,407,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_407,0A:29:D5:47:E8:00,-76,100,오후 5:18:04,5GHz,407,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_407,0A:29:D5:47:E8:00,-73,100,오후 5:18:07,5GHz,407,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_407,06:29:D5:47:E8:00,-63,11,오후 5:17:56,2.4GHz,407,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_407,06:29:D5:47:E8:00,-63,11,오후 5:17:59,2.4GHz,407,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_407,06:29:D5:47:E8:00,-63,11,오후 5:18:02,2.4GHz,407,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_407,06:29:D5:47:E8:00,-64,11,오후 5:18:04,2.4GHz,407,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_407,06:29:D5:47:E8:00,-64,11,오후 5:18:07,2.4GHz,407,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_406,0A:29:D5:47:E7:B0,-27,52,오후 5:17:56,5GHz,406,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_406,0A:29:D5:47:E7:B0,-28,52,오후 5:17:59,5GHz,406,인수_data/406_공유기.txt,406,공유기,406_공유기
wi_dje_406,0A:29:D5:47:E7:B0,-28,52,오후 5:18:02,5GHz,406,인수_data/406_공유기.txt,406,공유기,406_공유기
